Date;Costa_Rica;Lituanie;Colombie;Grece;France;Test_à_con_pour_France;;Suede;Chili;New_Zealand;Suisse;Irlande;Autriche;Italie;Portugal;Luxembourg;Allemagne;Pologne;Tchéquie;Lettonie;EU27_2020;Arabie_Saoudite;EA19;G20;Chine;Afrique_du_sud;Indonesie;Inde;Turquie;Isreal;Belgique;Mexique;Slovaquie;USA;Pays_bas;Bresil;Finlande;Slovenie;Canada;Hongrie;Norvege;OCDE;Japon;Espagne;Danemark;Estonie;Royaume-Uni;Islande;Australie;Corée_du_sud
1976-Q1;;;;3,279608692;1,467728516;238540,6021;;-1,66619471;;;-0,088898186;-0,231437253;-0,363839304;1,761832697;2,404369543;1,449331581;0,898503341;;;;;;;;;1,314343738;;;;;2,074298549;1,056566621;;2,248760121;0,188830121;;0,373156084;;1,732839462;;2,150529207;1,637650522;0,847324585;0,993842659;2,473896509;;1,653237203;1,628424846;4,410773379;2,888755135
1976-Q2;;;;0,514363354;1,192260978;241384,6286;;1,766900116;;;0,512927876;0,112618598;1,845980491;1,807450363;2,487970122;1,531738731;1,485514999;;;;;;;;;-1,995152109;;;;;2,019118099;1,046903478;;0,733700577;0,099520108;;0,534417659;;2,163803961;;1,718176292;1,024556381;0,590800499;1,154238868;1,810285415;;-0,129451608;1,983566671;0,304470954;4,80717592
1976-Q3;;;;-2,48720672;0,472915631;242526,1742;;-0,541325725;;;1,658508644;0,941474492;2,295540148;2,541459042;0,463687651;0,974239657;0,029868819;;;;;;;;;2,379248149;;;;;0,873670848;0,820824926;;0,548705764;3,533003443;;1,115155717;;0,445344075;;1,308634174;0,885904363;1,406011224;0,969907983;1,184947516;;1,272004491;2,218361227;0,812627544;1,940145549
1976-Q4;;;;7,826207497;1,245840306;245547,663;;-0,462996332;;;1,119221411;1,853283189;1,361666685;1,734669506;3,207685852;0,275677506;1,85157959;;;;;;;;;-0,730836824;;;;;-0,278586554;0,591004129;;0,724850978;-1,692871864;;0,834285714;;0,206075061;;0,916125955;0,951068739;0,118914049;0,767893364;0,584883391;;2,118166659;2,318748639;0,87935688;1,124698181
1977-Q1;;;;-0,466491579;1,105448055;248262,0649;;-2,032863483;;;-0,058254394;2,400262301;0,186590103;0,039609619;0,921982026;-0,050324567;0,853943577;;;;;;;;;-0,218388293;;;;;-0,278875151;0,589218726;;1,181483598;1,21384212;;-0,861385016;;1,422042393;;0,535594358;0,909727173;2,187257002;0,792235802;-1,198126636;;0,018535681;2,267105536;-0,550201381;1,000940879
1977-Q2;;;;-3,651628379;0,434796121;249341,4987;;1,010680614;;;-0,005068553;2,549489505;1,426332979;-0,55686306;0,889026235;0,036882423;0,566949156;;;;;;;;;0,09606388;;;;;-0,275710685;0,574541288;;1,944113078;0,013692467;;-0,120041157;;0,537242437;;0,71004957;0,871941752;0,703787517;0,453631189;-0,069879794;;-0,717021427;2,108320871;1,410956427;5,073162158
1977-Q3;;;;0,360042899;0,458443057;250484,5875;;0,143075842;;;0,780596599;2,433546544;0,315146692;-0,935347604;1,004016479;0,50605461;-0,028904963;;;;;;;;;-0,385872981;;;;;0,312929842;1,396296342;;1,804355899;0,825347154;;0,618096492;;0,528995067;;0,88106137;0,921331685;0,681686576;0,332296681;3,290039473;;0,680867706;1,896654856;-0,424315034;6,0092059
1977-Q4;;;;6,031982291;0,228252482;251056,3248;;-0,591868443;;;-0,062869357;2,132613612;2,305531958;0,856853295;0,702947075;1,047038045;1,720636701;;;;;;;;;0,513506191;;;;;0,94035917;2,24138602;;0,002185772;0,997051521;;-0,233206302;;1,58111274;;1,047887281;0,81700492;1,356456852;0,668053727;-0,905907355;;1,703459448;1,647309678;-0,307954537;3,768176164
1978-Q1;;;;3,917933951;1,389138596;254543,8451;;1,622628005;;;-0,012581782;1,764624843;-4,375787184;1,634293921;0,481313774;1,311099693;0,412115378;;;;;;;;;1,644337137;;;;;0,92598361;2,178848345;;0,319163241;0,253524373;;1,083238312;;0,840853027;;1,532138371;0,8066192;1,889184999;0,624253076;-1,907817704;;0,883254195;1,410812098;0,700426003;-0,809499069
1978-Q2;;;;-1,586366943;1,662617478;258775,9356;;1,557888566;;;0,226500567;1,42637876;1,884672549;1,729759053;0,477280992;1,285131054;0,396382149;;;;;;;;;1,932724731;;;;;0,908158404;2,110729874;;3,864270188;0,183915093;;0,705019741;;0,685996478;;1,621609917;1,978436861;0,972000933;0,202601685;2,178223156;;1,168508775;1,247333233;0,816830271;3,082241658
